iter	Passed	Remaining
917	3368	300
918	3370	297
919	3373	293
920	3375	289
921	3378	285
922	3383	282
923	3388	278
924	3391	274
925	3395	271
926	3398	267
927	3402	263
928	3404	260
929	3407	256
930	3410	252
931	3413	249
932	3417	245
933	3420	241
934	3423	238
935	3428	234
936	3432	230
937	3435	227
938	3440	223
939	3443	219
940	3445	216
941	3448	212
942	3451	208
943	3454	204
944	3457	201
945	3459	197
946	3462	193
947	3465	190
948	3469	186
949	3471	182
950	3474	179
951	3477	175
952	3479	171
953	3482	167
954	3484	164
955	3489	160
956	3491	156
957	3494	153
958	3497	149
959	3501	145
960	3504	142
961	3506	138
962	3509	134
963	3513	131
964	3516	127
965	3518	123
966	3521	120
967	3524	116
968	3527	112
969	3529	109
970	3532	105
971	3534	101
972	3538	98
973	3540	94
974	3543	90
975	3545	87
976	3548	83
977	3551	79
978	3553	76
979	3556	72
980	3559	68
981	3562	65
982	3565	61
983	3567	58
984	3570	54
985	3586	50
986	3590	47
987	3593	43
988	3597	40
989	3600	36
990	3603	32
991	3606	29
992	3610	25
993	3614	21
994	3617	18
995	3621	14
996	3626	10
997	3628	7
998	3631	3
999	3633	0
