iter	RMSE
971	94.76347937
972	94.74228196
973	94.72220403
974	94.67207431
975	94.65328163
976	94.56833865
977	94.4213698
978	94.33484802
979	94.14531589
980	94.08015371
981	93.95341577
982	93.91461215
983	93.8554885
984	93.82554776
985	93.72179992
986	93.69644302
987	93.50191334
988	93.4376464
989	93.25587196
990	93.21168533
991	93.19235066
992	93.15438384
993	93.12289368
994	93.09047854
995	93.02802553
996	92.88561944
997	92.86677361
998	92.84579846
999	92.80510184
