iter	Passed	Remaining
591	2098	1445
592	2100	1441
593	2103	1437
594	2105	1433
595	2108	1429
596	2111	1425
597	2113	1420
598	2116	1416
599	2118	1412
600	2122	1408
601	2125	1404
602	2128	1401
603	2131	1397
604	2134	1393
605	2137	1389
606	2140	1385
607	2144	1382
608	2147	1378
609	2150	1375
610	2154	1371
611	2157	1367
612	2160	1364
613	2164	1360
614	2168	1357
615	2173	1354
616	2175	1350
617	2179	1347
618	2182	1343
619	2185	1339
620	2187	1335
621	2190	1331
622	2193	1327
623	2196	1323
624	2199	1319
625	2203	1316
626	2206	1312
627	2208	1308
628	2211	1304
629	2213	1300
630	2216	1296
631	2218	1291
632	2221	1287
633	2223	1283
634	2226	1279
635	2229	1276
636	2232	1272
637	2235	1268
638	2237	1264
639	2239	1259
640	2242	1255
641	2245	1251
642	2247	1247
643	2249	1243
644	2252	1239
645	2255	1235
646	2257	1231
647	2260	1227
648	2262	1223
649	2265	1219
650	2267	1215
651	2270	1211
652	2272	1207
653	2275	1203
654	2278	1199
655	2280	1195
656	2283	1191
657	2285	1188
658	2288	1184
659	2290	1180
660	2293	1176
661	2296	1172
662	2298	1168
663	2301	1164
664	2304	1160
665	2306	1156
666	2309	1152
667	2311	1148
668	2314	1145
669	2316	1141
670	2319	1137
671	2321	1133
672	2325	1129
673	2327	1125
674	2330	1121
675	2332	1118
676	2335	1114
677	2339	1110
678	2342	1107
679	2345	1103
680	2348	1100
681	2350	1096
682	2353	1092
683	2355	1088
684	2358	1084
685	2360	1080
686	2363	1076
687	2366	1072
688	2368	1069
689	2371	1065
690	2373	1061
691	2376	1057
692	2378	1053
693	2381	1049
694	2384	1046
695	2386	1042
696	2389	1038
697	2391	1034
698	2394	1031
699	2397	1027
700	2400	1023
701	2403	1020
702	2405	1016
703	2408	1012
704	2410	1008
705	2413	1004
706	2415	1001
707	2418	997
708	2420	993
709	2423	989
710	2425	986
711	2428	982
712	2431	978
713	2434	975
714	2437	971
715	2439	967
716	2442	964
717	2445	960
718	2447	956
719	2450	952
720	2452	949
721	2455	945
722	2458	941
723	2461	938
724	2464	934
725	2467	931
726	2469	927
727	2472	923
728	2475	920
729	2480	917
730	2483	913
731	2486	910
732	2489	906
733	2492	903
734	2495	899
735	2497	895
736	2500	892
737	2503	888
738	2506	885
739	2508	881
740	2511	877
741	2513	874
742	2516	870
743	2518	866
744	2522	863
745	2525	859
746	2528	856
747	2531	852
748	2533	849
749	2536	845
750	2540	842
751	2543	838
752	2547	835
753	2553	833
754	2556	829
755	2560	826
756	2565	823
757	2567	819
758	2571	816
759	2574	813
760	2578	809
761	2581	806
762	2584	802
763	2587	799
764	2590	795
765	2593	792
766	2596	788
767	2599	785
768	2603	782
769	2606	778
770	2609	775
771	2614	772
772	2618	768
773	2621	765
774	2624	761
775	2627	758
776	2629	754
777	2632	751
778	2635	747
779	2639	744
780	2641	740
781	2644	737
782	2646	733
783	2649	730
784	2652	726
785	2655	723
786	2658	719
787	2661	716
788	2664	712
789	2667	708
790	2669	705
791	2672	701
792	2676	698
793	2679	695
794	2681	691
795	2684	688
796	2688	684
797	2691	681
798	2693	677
799	2696	674
800	2699	670
801	2701	667
802	2704	663
803	2707	659
804	2709	656
805	2713	653
806	2715	649
807	2718	645
808	2720	642
809	2723	638
810	2727	635
811	2729	631
812	2732	628
813	2735	624
814	2738	621
815	2740	618
816	2743	614
817	2746	611
818	2749	607
819	2752	604
820	2754	600
821	2758	597
822	2762	594
823	2765	590
824	2767	587
825	2770	583
826	2772	580
827	2775	576
828	2778	573
829	2781	569
830	2784	566
831	2788	562
832	2790	559
833	2793	555
834	2795	552
835	2798	548
836	2801	545
837	2803	542
838	2806	538
839	2808	535
840	2811	531
841	2813	528
842	2816	524
843	2819	521
844	2822	517
845	2825	514
846	2827	510
847	2830	507
848	2833	503
849	2837	500
850	2839	497
851	2842	493
852	2845	490
853	2848	486
854	2850	483
855	2853	480
